Gene,Dn,Ds,Pn,Ps,Pn.1,Ps.1,Pn.2,Ps.2,Pn.3,Ps.3,Pn.4,Ps.4,Pn.5,Ps.5,Pn.6,Ps.6,Pn.7,Ps.7,Pn.8,Ps.8,Pn.9,Ps.9
LSAA_10028,8,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10029,8,66,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10030,48,91,6,4,5,4,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0
LSAA_10031,15,59,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1
LSAA_10033,19,38,2,3,2,3,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0
LSAA_10037,8,5,3,1,3,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
LSAA_10038,35,49,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_10039,51,65,11,7,11,7,8,5,8,4,6,4,6,3,6,3,3,2,3,2,3,2
LSAA_1004,13,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0
LSAA_10040,5,28,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10042,22,49,2,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
LSAA_10043,63,118,7,7,7,7,5,3,5,3,4,3,4,3,4,3,3,3,2,2,2,2
LSAA_10045,12,22,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10046,10,21,4,5,3,4,2,2,2,1,2,1,1,1,1,1,1,0,1,0,1,0
LSAA_10047,30,46,23,11,22,10,12,8,8,7,6,5,5,5,5,5,3,5,1,3,0,2
LSAA_10049,44,57,10,6,8,6,7,6,6,6,5,6,5,5,5,5,4,4,4,4,4,3
LSAA_10051,23,66,5,11,5,11,2,7,2,6,2,6,0,2,0,2,0,2,0,1,0,1
LSAA_10053,13,54,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10057,13,117,1,9,1,9,1,6,1,2,1,1,1,1,1,1,1,1,1,0,1,0
LSAA_10058,26,122,10,12,9,12,3,4,3,4,1,3,1,3,1,3,0,3,0,3,0,2
LSAA_10059,5,3,9,7,9,7,7,5,7,4,6,2,6,2,6,2,6,2,6,2,3,0
LSAA_1006,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10064,14,36,0,4,0,4,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,0
LSAA_10065,23,77,5,9,5,9,2,5,1,5,1,3,1,3,1,3,1,3,1,3,1,3
LSAA_10066,16,84,0,6,0,6,0,3,0,3,0,3,0,1,0,1,0,1,0,1,0,1
LSAA_10068,20,38,2,4,2,4,1,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10070,15,106,2,18,2,17,2,12,2,8,2,4,2,3,2,3,2,3,2,2,1,2
LSAA_10071,8,16,7,2,7,2,4,2,4,2,4,2,3,2,3,2,1,1,1,1,1,1
LSAA_10072,20,48,0,7,0,7,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10073,57,96,2,8,2,8,1,3,1,3,0,3,0,3,0,3,0,3,0,2,0,0
LSAA_10074,49,149,5,19,5,17,5,15,4,15,4,15,4,12,4,12,4,12,4,12,3,9
LSAA_10076,27,53,4,5,4,5,3,3,2,2,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_10077,19,27,2,5,2,5,1,4,1,4,1,4,1,4,1,4,1,4,0,3,0,2
LSAA_10081,23,36,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10083,25,33,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,2,1,1
LSAA_10085,62,141,6,29,6,27,3,14,2,9,1,6,1,3,1,3,1,3,1,1,1,0
LSAA_10086,3,51,0,4,0,4,0,4,0,3,0,3,0,2,0,2,0,2,0,2,0,2
LSAA_10087,13,16,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10088,36,75,8,8,8,8,4,7,3,7,3,7,3,7,3,7,3,7,2,6,1,5
LSAA_10089,7,33,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
LSAA_1009,10,77,7,2,5,2,3,1,3,1,3,1,0,1,0,1,0,1,0,1,0,1
LSAA_10090,4,43,2,1,2,1,2,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0
LSAA_10091,75,124,3,8,3,8,0,3,0,3,0,3,0,1,0,1,0,1,0,1,0,0
LSAA_10093,30,51,1,5,1,5,1,3,0,3,0,3,0,3,0,3,0,3,0,2,0,1
LSAA_10094,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10095,26,87,8,18,8,18,5,11,4,8,3,7,2,6,2,6,2,3,1,3,1,3
LSAA_10096,88,149,9,22,7,18,7,13,7,12,7,12,7,12,7,12,7,12,6,11,6,10
LSAA_10097,12,22,1,4,1,4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_10098,6,15,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2,0,2,0
LSAA_1010,20,44,12,16,12,16,7,10,7,7,6,5,6,4,6,4,6,4,4,2,4,2
LSAA_10100,6,30,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LSAA_10101,18,81,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,2
LSAA_10102,18,55,1,5,1,5,1,4,1,4,1,4,1,3,1,3,1,3,1,3,1,2
LSAA_10104,18,103,1,9,1,8,1,5,1,4,1,4,1,3,1,3,1,3,1,3,1,2
LSAA_10106,30,96,5,3,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
LSAA_10107,17,58,1,8,1,8,0,5,0,4,0,2,0,1,0,1,0,1,0,1,0,1
LSAA_10108,13,198,2,7,2,7,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
LSAA_1011,43,43,2,6,2,6,2,1,2,1,2,0,1,0,1,0,1,0,1,0,1,0
LSAA_10110,6,9,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
LSAA_10111,13,45,4,6,4,6,3,3,3,3,3,3,1,2,1,2,1,2,1,1,0,0
LSAA_10112,90,352,13,20,13,20,10,16,8,13,7,13,6,13,6,13,6,13,5,12,5,12
LSAA_10114,68,395,5,15,4,14,4,13,4,12,4,9,3,9,3,9,3,9,3,5,2,4
LSAA_10118,8,37,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LSAA_1012,10,39,8,5,8,5,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
LSAA_10120,44,147,4,5,3,4,2,4,2,4,2,4,2,4,2,4,2,2,2,2,2,2
LSAA_10124,39,110,1,7,1,7,0,5,0,3,0,3,0,2,0,2,0,2,0,2,0,0
LSAA_10126,12,48,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10131,16,35,5,7,5,7,5,6,4,6,4,5,4,4,4,4,4,3,4,3,4,3
LSAA_10132,2,3,1,8,1,8,1,5,1,4,1,4,1,2,1,2,1,2,1,2,1,2
LSAA_10133,25,115,3,10,3,10,2,7,2,7,2,6,2,6,2,6,2,6,2,6,2,5
LSAA_10134,20,27,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_1014,25,54,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,3,2,3
LSAA_10140,24,48,2,10,2,10,1,5,0,4,0,4,0,3,0,3,0,3,0,2,0,2
LSAA_10141,27,33,5,2,5,2,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10142,39,82,5,6,4,6,1,4,1,2,1,2,1,2,1,2,1,2,1,1,1,0
LSAA_10143,91,150,11,2,10,2,9,2,9,2,9,2,7,2,7,2,7,2,7,2,7,2
LSAA_10144,47,216,0,5,0,5,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,0
LSAA_10146,66,122,3,9,3,9,3,6,2,6,2,5,2,5,2,5,2,4,2,4,2,3
LSAA_10148,25,53,1,5,1,5,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,2
LSAA_10149,4,46,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
LSAA_1015,27,110,2,13,2,13,1,9,1,7,1,6,1,5,1,5,1,4,1,4,1,4
LSAA_10150,1,3,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10153,18,23,6,5,6,5,3,5,2,5,1,2,1,2,1,2,0,1,0,1,0,1
LSAA_10154,46,73,2,7,2,7,2,7,2,7,2,6,2,6,2,6,2,6,2,6,2,6
LSAA_10156,27,98,6,8,4,8,3,5,3,3,2,2,1,0,1,0,1,0,1,0,1,0
LSAA_10158,25,45,4,3,4,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1
LSAA_10159,5,79,0,4,0,4,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_1016,81,57,11,16,11,16,6,6,5,5,5,4,4,3,4,3,2,2,2,2,1,2
LSAA_10164,51,105,2,10,2,10,2,10,1,9,1,9,1,9,1,9,0,7,0,7,0,0
LSAA_10165,18,26,6,1,6,1,5,0,3,0,2,0,2,0,2,0,1,0,1,0,0,0
LSAA_10166,67,68,11,9,11,9,1,3,1,2,1,2,1,2,1,2,0,2,0,2,0,0
LSAA_10167,6,32,5,6,5,5,4,3,4,3,0,2,0,1,0,1,0,1,0,0,0,0
LSAA_10168,89,162,3,13,2,13,2,13,2,8,2,7,2,7,2,7,2,7,1,2,1,2
LSAA_10170,8,14,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_10171,10,100,4,26,4,25,3,14,2,11,2,6,1,4,1,4,1,3,1,1,0,0
LSAA_10175,23,37,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10176,92,226,35,21,34,21,24,14,24,10,17,8,16,5,16,5,16,4,15,4,7,3
LSAA_10177,20,55,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1
LSAA_10178,258,888,25,60,23,59,12,48,9,34,4,24,4,23,4,23,2,16,2,13,2,11
LSAA_1018,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10180,38,60,5,10,5,10,3,6,3,6,2,4,2,4,2,4,2,4,2,3,2,3
LSAA_10181,34,58,6,10,6,10,3,5,2,5,2,3,2,3,2,3,2,3,2,2,2,2
LSAA_10183,16,59,2,1,2,1,2,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0
LSAA_10185,15,19,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LSAA_10186,24,43,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_1019,25,66,1,3,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_10191,8,46,1,9,1,8,0,5,0,5,0,4,0,4,0,4,0,4,0,4,0,2
LSAA_10192,54,100,3,4,3,4,1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,1
LSAA_10195,45,234,2,29,2,27,1,13,1,10,1,9,1,9,1,9,1,9,1,9,1,8
LSAA_10197,43,62,13,15,10,15,9,12,7,9,2,4,2,4,2,4,2,2,1,0,1,0
LSAA_10198,8,73,2,8,2,7,1,3,1,3,1,3,1,2,1,2,1,2,1,2,0,0
LSAA_10199,11,22,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10201,170,263,10,17,10,16,8,9,8,8,8,7,8,7,8,7,4,6,3,6,2,3
LSAA_10202,28,82,2,7,2,7,2,2,2,1,1,1,0,1,0,1,0,1,0,1,0,1
LSAA_10203,526,648,49,51,45,48,29,32,28,28,17,22,13,18,13,18,11,18,11,16,7,10
LSAA_10204,25,72,2,6,2,6,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1
LSAA_10206,144,271,43,50,42,44,22,29,16,22,13,17,10,14,10,14,8,9,7,6,3,3
LSAA_10207,57,92,13,31,12,31,8,24,7,24,6,17,6,12,6,12,5,7,3,5,1,2
LSAA_10208,18,10,27,6,25,6,13,2,13,2,10,2,4,2,4,2,3,1,3,1,2,0
LSAA_10211,9,50,0,9,0,8,0,6,0,6,0,6,0,6,0,6,0,6,0,3,0,2
LSAA_10213,21,38,4,8,4,8,2,5,1,5,1,4,1,4,1,4,1,4,1,2,1,2
LSAA_10214,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10218,37,44,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
LSAA_10221,5,25,2,6,2,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10222,17,23,4,7,3,7,2,7,2,7,2,7,2,7,2,7,2,7,2,4,2,4
LSAA_10224,10,69,2,10,2,10,2,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_10225,48,92,3,6,3,5,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_10226,9,17,0,4,0,4,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
LSAA_10227,4,2,29,8,26,6,18,3,15,3,14,3,13,3,13,3,11,3,10,3,9,2
LSAA_10228,29,43,5,3,5,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1
LSAA_10231,30,31,15,16,15,16,12,8,11,7,10,5,8,4,8,4,6,4,6,3,6,2
LSAA_10233,13,40,3,1,3,1,3,1,3,1,2,1,0,1,0,1,0,1,0,1,0,1
LSAA_10235,13,65,1,5,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,2,0,1
LSAA_10237,58,160,7,9,7,8,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1
LSAA_10238,81,157,1,5,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
LSAA_10239,8,30,1,7,1,7,0,6,0,3,0,3,0,3,0,3,0,2,0,2,0,2
LSAA_10241,36,77,3,5,3,5,2,1,2,1,2,0,2,0,2,0,2,0,2,0,1,0
LSAA_10244,39,69,4,7,4,7,2,4,2,4,1,4,0,3,0,3,0,2,0,2,0,1
LSAA_10245,48,100,11,12,11,11,7,4,5,4,4,4,3,4,3,4,3,3,3,2,2,1
LSAA_10246,1,13,3,6,3,5,2,4,1,4,1,4,1,4,1,4,1,4,1,4,0,3
LSAA_10247,19,37,5,27,4,27,3,15,3,9,3,7,3,7,3,7,3,6,3,6,1,3
LSAA_10248,14,27,5,1,5,1,5,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
LSAA_1025,13,32,0,3,0,3,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10251,26,45,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10254,34,75,2,4,2,4,1,3,1,3,1,2,1,1,1,1,1,0,1,0,0,0
LSAA_10255,10,61,1,8,1,8,0,4,0,3,0,2,0,2,0,2,0,1,0,1,0,1
LSAA_10256,9,22,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10257,43,77,5,6,5,6,2,5,1,4,1,4,1,4,1,4,1,4,1,3,1,3
LSAA_10258,17,17,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1
LSAA_10259,8,18,1,4,1,4,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,0
LSAA_10261,7,85,2,10,1,10,0,8,0,8,0,8,0,7,0,7,0,7,0,6,0,5
LSAA_10262,32,48,6,5,6,5,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,2
LSAA_10263,13,140,16,34,16,32,7,14,4,10,3,10,3,9,3,9,2,8,2,7,2,3
LSAA_10264,5,8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
LSAA_10265,19,94,6,18,6,18,3,6,2,3,2,3,2,3,2,3,2,3,2,2,2,0
LSAA_10266,116,290,24,60,23,60,12,38,8,30,5,20,5,19,5,19,2,12,2,9,1,4
LSAA_10267,31,177,3,11,3,11,1,5,1,4,1,3,1,3,1,3,1,2,1,1,0,0
LSAA_10268,28,45,7,10,7,10,3,4,2,2,2,2,1,2,1,2,1,2,1,1,1,1
LSAA_10270,24,68,3,2,3,2,3,2,3,2,3,2,1,2,1,2,1,2,1,2,1,2
LSAA_10271,22,58,3,5,3,5,2,3,2,1,2,1,2,1,2,1,2,1,2,0,1,0
LSAA_10272,41,76,2,8,2,8,2,4,2,4,2,2,1,2,1,2,1,2,1,2,1,0
LSAA_10274,37,268,6,16,6,16,5,15,5,14,5,11,5,8,5,8,5,8,5,8,5,6
LSAA_10277,6,5,3,12,3,11,2,6,1,4,1,4,1,4,1,4,1,4,0,4,0,3
LSAA_10280,10,67,3,5,3,5,3,4,3,3,3,3,3,3,3,3,2,1,2,1,2,1
LSAA_10282,3,1,2,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10283,15,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10284,17,23,3,2,3,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
LSAA_10285,32,59,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_10286,104,175,5,8,4,8,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2
LSAA_10288,25,60,2,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_10289,5,18,3,4,3,4,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
LSAA_10291,21,74,3,9,3,9,3,7,3,7,3,7,2,7,2,7,2,5,0,5,0,3
LSAA_10292,8,69,1,6,1,6,1,4,1,4,1,3,1,3,1,3,1,3,1,3,1,2
LSAA_10293,9,23,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10295,6,46,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10297,21,58,1,5,1,5,1,3,1,2,1,2,1,2,1,2,1,1,1,1,1,1
LSAA_10299,13,21,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_1030,99,186,13,13,13,13,12,9,10,9,8,9,7,9,7,9,6,9,6,9,5,9
LSAA_10301,107,113,15,15,14,15,6,8,6,7,4,7,4,6,4,6,3,6,3,3,1,2
LSAA_10304,76,153,12,13,12,13,5,11,5,11,5,10,5,8,5,8,5,6,4,5,3,3
LSAA_10305,13,39,1,3,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1
LSAA_10307,13,1,2,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10308,6,16,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_10310,46,94,5,8,5,8,2,4,2,4,2,4,2,4,2,4,2,4,2,2,2,1
LSAA_10312,15,32,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
LSAA_10313,62,127,5,16,3,16,3,14,3,14,3,14,3,13,3,13,3,13,3,13,3,12
LSAA_10314,35,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10315,40,91,6,4,6,3,4,1,4,1,4,1,4,1,4,1,3,1,3,1,2,1
LSAA_10316,61,138,9,32,8,29,4,13,4,9,4,9,4,6,4,6,4,5,3,4,3,4
LSAA_10317,5,31,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_10318,28,48,12,12,11,11,6,6,6,5,6,4,6,4,6,4,6,4,5,4,2,2
LSAA_10319,23,123,2,24,2,23,2,19,1,18,1,15,1,12,1,12,1,11,0,11,0,7
LSAA_10320,73,222,17,45,17,45,6,24,5,12,5,12,4,10,4,10,3,9,2,9,1,6
LSAA_10321,41,105,3,8,3,8,2,7,2,7,1,6,1,5,1,5,1,4,1,4,1,3
LSAA_10324,21,64,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10325,22,40,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10327,18,66,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,0
LSAA_10328,2,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_1033,27,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10331,110,270,21,31,21,28,14,19,14,13,11,12,9,9,9,9,7,8,6,5,2,3
LSAA_10333,7,12,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
LSAA_10334,44,75,8,6,8,6,6,5,6,4,6,4,6,4,6,4,6,3,6,2,6,2
LSAA_10337,44,62,9,1,9,1,7,1,7,1,4,1,4,1,4,1,4,1,4,1,4,1
LSAA_10338,1,1,3,3,3,3,2,3,2,2,2,1,2,1,2,1,2,1,2,0,2,0
LSAA_10339,27,52,4,9,3,9,1,7,1,6,1,3,1,2,1,2,1,2,1,2,1,0
LSAA_1034,9,9,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LSAA_10340,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10344,8,30,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1
LSAA_10345,32,27,4,8,4,8,2,5,2,5,1,3,1,3,1,3,0,2,0,2,0,2
LSAA_10346,14,25,1,2,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
LSAA_10347,24,59,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10348,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_1035,20,28,3,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10350,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10351,111,147,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
LSAA_10352,14,60,4,8,4,7,3,5,1,4,1,3,1,3,1,3,1,2,1,2,1,1
LSAA_10353,66,96,15,26,15,26,9,15,8,14,8,14,8,13,8,13,8,11,7,9,5,6
LSAA_10355,15,39,2,2,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0
LSAA_10357,17,41,0,3,0,3,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10359,12,33,1,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,4,0,3
LSAA_1036,3,17,5,1,5,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0,1
LSAA_10360,25,79,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1
LSAA_10361,8,16,2,4,2,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10362,13,58,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10363,7,24,0,6,0,5,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_10365,38,117,7,13,7,13,5,10,4,9,4,9,3,7,3,7,3,7,3,7,1,4
LSAA_10367,18,49,2,10,2,10,1,8,1,4,1,4,1,3,1,3,1,3,1,1,1,1
LSAA_1037,60,63,4,4,4,4,1,4,1,4,1,4,1,4,1,4,1,3,1,3,1,3
LSAA_10370,93,99,17,15,12,14,8,10,8,8,8,8,8,7,8,7,8,7,7,7,6,4
LSAA_10371,22,53,6,2,5,2,2,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
LSAA_10372,74,98,46,13,46,13,40,11,28,9,25,9,9,8,9,8,9,7,9,7,8,7
LSAA_10376,15,48,0,5,0,5,0,4,0,2,0,2,0,2,0,2,0,2,0,2,0,2
LSAA_10377,25,56,1,4,1,4,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10378,12,15,6,2,6,2,4,1,3,1,1,0,1,0,1,0,1,0,1,0,1,0
LSAA_1038,11,10,6,2,6,2,3,1,3,1,3,1,3,0,3,0,3,0,3,0,0,0
LSAA_10381,25,120,2,5,2,5,2,3,2,3,2,3,2,1,2,1,2,1,2,1,1,0
LSAA_10382,4,43,0,4,0,4,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2
LSAA_10384,22,18,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10385,12,14,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
LSAA_10386,19,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSAA_10387,34,127,3,14,3,14,3,6,3,3,3,3,3,3,3,3,3,2,3,1,1,1
