Gene,Scaffold,Syn.sites,Non.sites,Linkage,SPM.F,SPM.Bias
LSAA_10037,HG994584.1,352.6666667,1396.333333,A,0.320078901,Unbiased
LSAA_10038,HG994584.1,113.6666667,393.3333333,A,0.484590001,Unbiased
LSAA_10039,HG994584.1,170.3333333,567.6666667,A,0.054211301,Male
LSAA_1004,HG994580.1,420.6666667,1628.333333,A,0.45623979,Unbiased
LSAA_10040,HG994584.1,683.6666667,2175.333333,A,0.407160719,Unbiased
LSAA_10041,HG994584.1,375,1233,A,0.132793277,Male
LSAA_10042,HG994584.1,264.6666667,1034.333333,A,0.321381166,Unbiased
LSAA_10043,HG994584.1,117.6666667,509.3333333,A,0.187338993,Male
LSAA_10044,HG994584.1,276.3333333,842.6666667,A,0,Male
LSAA_10045,HG994584.1,206,688,A,0.052989255,Male
LSAA_10046,HG994584.1,460.3333333,1618.666667,A,0.640981879,Unbiased
LSAA_10047,HG994584.1,419,1552,A,0.999383892,Female
LSAA_10048,HG994584.1,375,1395,A,0.266362475,Unbiased
LSAA_10049,HG994584.1,114,357,A,0.723058808,Unbiased
LSAA_1005,HG994580.1,132.6666667,452.3333333,A,0.846912911,Female
LSAA_10050,HG994584.1,336,1227,A,0.130911642,Male
LSAA_10051,HG994584.1,75,243,A,0.367142581,Unbiased
LSAA_10052,HG994584.1,235.3333333,937.6666667,A,0,Male
LSAA_10053,HG994584.1,156.6666667,545.3333333,A,0.636359004,Unbiased
LSAA_10054,HG994584.1,157.6666667,526.3333333,A,0.137172771,Male
LSAA_10055,HG994584.1,712.3333333,2659.666667,A,0.010071952,Male
LSAA_10056,HG994584.1,1104.666667,3677.333333,A,0.523318517,Unbiased
LSAA_10057,HG994584.1,97.66666667,349.3333333,A,0.471674634,Unbiased
LSAA_10058,HG994584.1,204,765,A,0.466613198,Unbiased
LSAA_10059,HG994584.1,364.6666667,1423.333333,A,0.465361753,Unbiased
LSAA_1006,HG994580.1,77.66666667,324.3333333,A,0.224476527,Unbiased
LSAA_10060,HG994584.1,252,780,A,0.399875233,Unbiased
LSAA_10061,HG994584.1,455.3333333,1590.666667,A,0.005680749,Male
LSAA_10062,HG994584.1,97.66666667,322.3333333,A,NA,Unbiased
LSAA_10063,HG994584.1,241.6666667,877.3333333,A,0.703133595,Unbiased
LSAA_10064,HG994584.1,304,1100,A,0.307984775,Unbiased
LSAA_10065,HG994584.1,61.66666667,244.3333333,A,0.523586373,Unbiased
LSAA_10066,HG994584.1,76.66666667,289.3333333,A,0.039141889,Male
LSAA_10067,HG994584.1,174,654,A,0.993712827,Female
LSAA_10068,HG994584.1,295.3333333,1132.666667,A,0.519225312,Unbiased
LSAA_10069,HG994584.1,195.6666667,671.3333333,A,0.323535532,Unbiased
LSAA_1007,HG994580.1,273,957,A,NA,Unbiased
LSAA_10070,HG994584.1,151.3333333,547.6666667,A,0.502959613,Unbiased
LSAA_10071,HG994584.1,90,321,A,0.409819351,Unbiased
LSAA_10072,HG994584.1,109,368,A,0.436083637,Unbiased
LSAA_10073,HG994584.1,125,427,A,0.502438417,Unbiased
LSAA_10074,HG994584.1,183.3333333,704.6666667,A,0.439303497,Unbiased
LSAA_10075,HG994584.1,80.66666667,339.3333333,A,NA,Unbiased
LSAA_10076,HG994584.1,179.6666667,765.3333333,A,0.661903252,Unbiased
LSAA_10077,HG994584.1,63,264,A,0.303960703,Unbiased
LSAA_10078,HG994584.1,132,477,A,NA,Unbiased
LSAA_10079,HG994584.1,217.6666667,853.3333333,A,0.340832154,Unbiased
LSAA_1008,HG994580.1,153.3333333,584.6666667,A,0.281976693,Unbiased
LSAA_10080,HG994584.1,102,309,A,NA,Unbiased
LSAA_10081,HG994584.1,330.3333333,1112.666667,A,0.284076202,Unbiased
LSAA_10082,HG994584.1,1420,5291,A,0,Male
LSAA_10083,HG994584.1,68.33333333,252.6666667,A,0.382392549,Unbiased
LSAA_10084,HG994584.1,250,947,A,0.776226026,Unbiased
LSAA_10085,HG994584.1,97,308,A,0.85554528,Female
LSAA_10086,HG994584.1,145,554,A,0.283929981,Unbiased
LSAA_10087,HG994584.1,543.6666667,2021.333333,A,0.225319759,Unbiased
LSAA_10088,HG994584.1,69,255,A,0.376717324,Unbiased
LSAA_10089,HG994584.1,165.6666667,650.3333333,A,0.132751387,Male
LSAA_1009,HG994580.1,246.3333333,881.6666667,A,0.221706875,Unbiased
LSAA_10090,HG994584.1,669.6666667,2624.333333,A,0.296627267,Unbiased
LSAA_10091,HG994584.1,154.3333333,601.6666667,A,0.292322731,Unbiased
LSAA_10092,HG994584.1,263.6666667,900.3333333,A,0.522918968,Unbiased
LSAA_10093,HG994584.1,395.3333333,1632.666667,A,0.159597545,Male
LSAA_10094,HG994584.1,94.33333333,313.6666667,A,0.389723035,Unbiased
LSAA_10095,HG994584.1,741,3012,A,0.037780168,Male
LSAA_10096,HG994584.1,141.3333333,569.6666667,A,0.495518148,Unbiased
LSAA_10097,HG994584.1,468.6666667,1751.333333,A,0.45907286,Unbiased
LSAA_10098,HG994584.1,275.6666667,984.3333333,A,0.022041282,Male
LSAA_10099,HG994584.1,207.6666667,785.3333333,A,0,Male
LSAA_101,CAJNVT010000015.1,194.3333333,780.6666667,A,0.972179187,Female
LSAA_1010,HG994580.1,155.6666667,588.3333333,A,0.425546043,Unbiased
LSAA_10100,HG994584.1,74,274,A,0.778108227,Unbiased
LSAA_10101,HG994584.1,121,461,A,0.371515599,Unbiased
LSAA_10102,HG994584.1,323.6666667,1119.333333,A,0.61156523,Unbiased
LSAA_10103,HG994584.1,513.3333333,1898.666667,A,0.777792931,Unbiased
LSAA_10104,HG994584.1,215,850,A,0.074873369,Male
LSAA_10105,HG994584.1,208.3333333,838.6666667,A,0.394694597,Unbiased
LSAA_10106,HG994584.1,119.3333333,492.6666667,A,0.472487557,Unbiased
LSAA_10107,HG994584.1,134,490,A,0.051228173,Male
LSAA_10108,HG994584.1,154,569,A,0.345819781,Unbiased
LSAA_10109,HG994584.1,285.6666667,953.3333333,A,0.302842233,Unbiased
LSAA_1011,HG994580.1,131.6666667,480.3333333,A,0.529306384,Unbiased
LSAA_10110,HG994584.1,429.3333333,1409.666667,A,0.602789109,Unbiased
LSAA_10111,HG994584.1,165,561,A,0.354342418,Unbiased
LSAA_10112,HG994584.1,1293,4761,A,0.096535101,Male
LSAA_10113,HG994584.1,209,721,A,0.231069021,Unbiased
LSAA_10114,HG994584.1,206.3333333,735.6666667,A,0.366714655,Unbiased
LSAA_10115,HG994584.1,96.66666667,335.3333333,A,0,Male
LSAA_10116,HG994584.1,101,391,A,0.05799566,Male
LSAA_10117,HG994584.1,139,422,A,NA,Unbiased
LSAA_10118,HG994584.1,93.33333333,326.6666667,A,0.272276907,Unbiased
LSAA_10119,HG994584.1,346.3333333,1276.666667,A,0.121451984,Male
LSAA_1012,HG994580.1,185.6666667,597.3333333,A,0.505841522,Unbiased
LSAA_10120,HG994584.1,92.66666667,369.3333333,A,0.39006648,Unbiased
LSAA_10121,HG994584.1,253,917,A,1,Female
LSAA_10122,HG994584.1,136.6666667,508.3333333,A,0.177656843,Male
LSAA_10123,HG994584.1,68,283,A,0.499388324,Unbiased
LSAA_10124,HG994584.1,82.66666667,340.3333333,A,0.625356009,Unbiased
LSAA_10125,HG994584.1,279,1026,A,0.41327483,Unbiased
LSAA_10126,HG994584.1,215.3333333,870.6666667,A,0.550319302,Unbiased
LSAA_10127,HG994584.1,156,561,A,NA,Unbiased
LSAA_10128,HG994584.1,191,715,A,0.570314422,Unbiased
LSAA_10129,HG994584.1,110.6666667,384.3333333,A,NA,Unbiased
LSAA_1013,HG994580.1,172.6666667,640.3333333,A,0.643373582,Unbiased
LSAA_10130,HG994584.1,163.6666667,652.3333333,A,0.001265953,Male
LSAA_10131,HG994584.1,220,731,A,0.239091824,Unbiased
LSAA_10132,HG994584.1,196.6666667,676.3333333,A,0.887904019,Female
LSAA_10133,HG994584.1,166,647,A,0.323674042,Unbiased
LSAA_10134,HG994584.1,75.33333333,257.6666667,A,0.297511375,Unbiased
LSAA_10135,HG994584.1,73,308,A,0.288875021,Unbiased
LSAA_10136,HG994584.1,488.6666667,1908.333333,A,NA,Unbiased
LSAA_10137,HG994584.1,167.6666667,669.3333333,A,0.518931996,Unbiased
LSAA_10138,HG994584.1,289.3333333,1084.666667,A,0,Male
LSAA_10139,HG994584.1,72.66666667,293.3333333,A,0.580490293,Unbiased
LSAA_1014,HG994580.1,63.66666667,263.3333333,A,0.435331203,Unbiased
LSAA_10140,HG994584.1,310.3333333,1138.666667,A,0.395831917,Unbiased
LSAA_10141,HG994584.1,228.3333333,980.6666667,A,0.570121436,Unbiased
LSAA_10142,HG994584.1,625,2180,A,0.246115178,Unbiased
LSAA_10143,HG994584.1,1580.666667,5709.333333,A,0.399231455,Unbiased
LSAA_10144,HG994584.1,180,669,A,0.727402317,Unbiased
LSAA_10145,HG994584.1,205.6666667,796.3333333,A,0,Male
LSAA_10146,HG994584.1,330.3333333,1211.666667,A,0.258905127,Unbiased
LSAA_10147,HG994584.1,284,1000,A,0.470356563,Unbiased
LSAA_10148,HG994584.1,113.6666667,480.3333333,A,0.130902279,Male
LSAA_10149,HG994584.1,516.6666667,1790.333333,A,0.242526478,Unbiased
LSAA_1015,HG994580.1,86,295,A,0.242833289,Unbiased
LSAA_10150,HG994584.1,141,504,A,0.031648475,Male
LSAA_10151,HG994584.1,68,298,A,0.999956011,Female
LSAA_10152,HG994584.1,305.3333333,1113.666667,A,0.999146123,Female
LSAA_10153,HG994584.1,248,835,A,0.04091668,Male
LSAA_10154,HG994584.1,194,649,A,0.4373798,Unbiased
LSAA_10155,HG994584.1,342.3333333,1202.666667,A,0.490882559,Unbiased
LSAA_10156,HG994584.1,220.6666667,811.3333333,A,0.5273164,Unbiased
LSAA_10157,HG994584.1,120,405,A,0.025874799,Male
LSAA_10158,HG994584.1,597,2340,A,0.334221774,Unbiased
LSAA_10159,HG994584.1,225.6666667,800.3333333,A,0.400133698,Unbiased
LSAA_1016,HG994580.1,236.6666667,852.3333333,A,0.445219432,Unbiased
LSAA_10160,HG994584.1,330,1230,A,0.975755168,Female
LSAA_10161,HG994584.1,238.3333333,871.6666667,A,0.414033916,Unbiased
LSAA_10162,HG994584.1,269.3333333,915.6666667,A,0.542540406,Unbiased
LSAA_10163,HG994584.1,66.66666667,245.3333333,A,0,Male
LSAA_10164,HG994584.1,292.3333333,946.6666667,A,0.215371387,Unbiased
LSAA_10165,HG994584.1,299.6666667,1041.333333,A,0.336785391,Unbiased
LSAA_10166,HG994584.1,331.6666667,1279.333333,A,0.569477805,Unbiased
LSAA_10167,HG994584.1,930.3333333,3518.666667,A,0.530155338,Unbiased
LSAA_10168,HG994584.1,330.6666667,1199.333333,A,0.391696787,Unbiased
LSAA_10169,HG994584.1,77.66666667,291.3333333,A,NA,Unbiased
LSAA_1017,HG994580.1,362.3333333,1251.666667,A,0.380221,Unbiased
LSAA_10170,HG994584.1,78.66666667,314.3333333,A,0.390730631,Unbiased
LSAA_10171,HG994584.1,152,541,A,0.262565617,Unbiased
LSAA_10172,HG994584.1,87.33333333,344.6666667,A,0.787419649,Unbiased
LSAA_10173,HG994584.1,120.3333333,422.6666667,A,0.335188284,Unbiased
LSAA_10174,HG994584.1,158,508,A,NA,Unbiased
LSAA_10175,HG994584.1,347.6666667,1305.333333,A,0.590142646,Unbiased
LSAA_10176,HG994584.1,149.6666667,606.3333333,A,0.427979034,Unbiased
LSAA_10177,HG994584.1,401.6666667,1632.333333,A,0.359797564,Unbiased
LSAA_10178,HG994584.1,193.3333333,772.6666667,A,0.397176137,Unbiased
LSAA_10179,HG994584.1,208,791,A,0,Male
LSAA_1018,HG994580.1,87,249,A,0.315559098,Unbiased
LSAA_10180,HG994584.1,194.6666667,750.3333333,A,0.505946315,Unbiased
LSAA_10181,HG994584.1,199,758,A,0.005197902,Male
LSAA_10182,HG994584.1,229.3333333,823.6666667,A,0.092502905,Male
LSAA_10183,HG994584.1,206.6666667,762.3333333,A,0.344222224,Unbiased
LSAA_10184,HG994584.1,139.3333333,517.6666667,A,0.595067016,Unbiased
LSAA_10185,HG994584.1,404.3333333,1488.666667,A,0.228547508,Unbiased
LSAA_10186,HG994584.1,149.3333333,513.6666667,A,0.333941256,Unbiased
LSAA_10187,HG994584.1,205.6666667,727.3333333,A,0.272553543,Unbiased
LSAA_10188,HG994584.1,157.6666667,559.3333333,A,0.006668873,Male
LSAA_10189,HG994584.1,211.3333333,730.6666667,A,0.000180312,Male
LSAA_1019,HG994580.1,128,490,A,0.269399654,Unbiased
LSAA_10190,HG994584.1,259,1007,A,1,Female
LSAA_10191,HG994584.1,880,3335,A,0.555454592,Unbiased
LSAA_10192,HG994584.1,79.33333333,307.6666667,A,0.154377823,Male
LSAA_10193,HG994584.1,60.66666667,287.3333333,A,0.588692765,Unbiased
LSAA_10194,HG994584.1,408.6666667,1490.333333,A,0.448489804,Unbiased
LSAA_10195,HG994584.1,184,647,A,0.338806672,Unbiased
LSAA_10196,HG994584.1,124,443,A,0,Male
LSAA_10197,HG994584.1,125,448,A,0.473482488,Unbiased
LSAA_10198,HG994584.1,374.6666667,1137.333333,A,0.453703739,Unbiased
LSAA_10199,HG994584.1,323.3333333,1260.666667,A,0.459785504,Unbiased
LSAA_102,CAJNVT010000015.1,318.3333333,1085.666667,A,0.495383987,Unbiased
LSAA_1020,HG994580.1,85,332,A,0,Male
LSAA_10200,HG994584.1,953.3333333,3360.666667,A,NA,Unbiased
LSAA_10201,HG994584.1,98,376,A,0.999734987,Female
LSAA_10202,HG994584.1,151.3333333,592.6666667,A,0.384876058,Unbiased
LSAA_10203,HG994584.1,171.3333333,578.6666667,A,0.505467456,Unbiased
LSAA_10204,HG994584.1,71,286,A,0.001850021,Male
LSAA_10205,HG994584.1,97.66666667,304.3333333,A,0.595887802,Unbiased
LSAA_10206,HG994584.1,948,3255,A,0.636679698,Unbiased
LSAA_10207,HG994584.1,94.66666667,367.3333333,A,0.03394268,Male
LSAA_10208,HG994584.1,116,421,A,0,Male
LSAA_10209,HG994584.1,212.3333333,831.6666667,A,0,Male
LSAA_1021,HG994580.1,596.6666667,2061.333333,A,0.059736345,Male
LSAA_10210,HG994584.1,263.3333333,1008.666667,A,0.693183748,Unbiased
LSAA_10211,HG994584.1,497,1765,A,0.603775255,Unbiased
LSAA_10212,HG994584.1,315.3333333,1214.666667,A,0,Male
LSAA_10213,HG994584.1,165.3333333,617.6666667,A,0.144611073,Male
LSAA_10214,HG994584.1,84,336,A,0,Male
LSAA_10215,HG994584.1,242.3333333,852.6666667,A,NA,Unbiased
LSAA_10216,HG994584.1,503.3333333,1833.666667,A,0.398347732,Unbiased
LSAA_10217,HG994584.1,432,1455,A,0.13487378,Male
LSAA_10218,HG994584.1,143.6666667,555.3333333,A,0.276764282,Unbiased
LSAA_10219,HG994584.1,286,1007,A,0.128366517,Male
LSAA_1022,HG994580.1,161,574,A,0.146521049,Male
LSAA_10220,HG994584.1,197.6666667,747.3333333,A,0.992894362,Female
LSAA_10221,HG994584.1,364,1376,A,0.243529628,Unbiased
LSAA_10222,HG994584.1,201.6666667,698.3333333,A,0.104048054,Male
LSAA_10223,HG994584.1,114,486,A,0.181591137,Male
LSAA_10224,HG994584.1,1376.666667,4995.333333,A,0.225196209,Unbiased
LSAA_10225,HG994584.1,69.66666667,236.3333333,A,0.252670995,Unbiased
LSAA_10226,HG994584.1,182,613,A,0.422073948,Unbiased
LSAA_10227,HG994584.1,369.3333333,1202.666667,A,0.696637059,Unbiased
LSAA_10228,HG994584.1,158,607,A,0.304190393,Unbiased
LSAA_10229,HG994584.1,245.6666667,855.3333333,A,0.007076543,Male
LSAA_1023,HG994580.1,179,592,A,0.391841518,Unbiased
LSAA_10230,HG994584.1,2145,8523,A,NA,Unbiased
LSAA_10231,HG994584.1,74.33333333,255.6666667,A,0.83700668,Female
LSAA_10232,HG994584.1,245.3333333,981.6666667,A,NA,Unbiased
LSAA_10233,HG994584.1,119.6666667,420.3333333,A,0.768528804,Unbiased
LSAA_10234,HG994584.1,216.6666667,833.3333333,A,0.089777206,Male
LSAA_10235,HG994584.1,688.3333333,2617.666667,A,0.547131159,Unbiased
LSAA_10236,HG994584.1,184,590,A,0.84614216,Female
LSAA_10237,HG994584.1,178.3333333,694.6666667,A,0.358566534,Unbiased
LSAA_10238,HG994584.1,544.3333333,1924.666667,A,0.186491089,Male
LSAA_10239,HG994584.1,334,1187,A,0.524092878,Unbiased
LSAA_1024,HG994580.1,179.3333333,630.6666667,A,0.449123449,Unbiased
LSAA_10240,HG994584.1,67.33333333,265.6666667,A,0.357933888,Unbiased
LSAA_10241,HG994584.1,559.6666667,2041.333333,A,0.003572089,Male
LSAA_10242,HG994584.1,339.6666667,1367.333333,A,0,Male
LSAA_10243,HG994584.1,76.66666667,235.3333333,A,0.891255249,Female
LSAA_10244,HG994584.1,148.6666667,568.3333333,A,0.827347746,Female
LSAA_10245,HG994584.1,218.3333333,783.6666667,A,0.390695023,Unbiased
LSAA_10246,HG994584.1,211.3333333,778.6666667,A,0.317351529,Unbiased
LSAA_10247,HG994584.1,84,288,A,0.024303774,Male
LSAA_10248,HG994584.1,107.3333333,333.6666667,A,0.742430073,Unbiased
LSAA_10249,HG994584.1,229.6666667,814.3333333,A,0.921170713,Female
LSAA_1025,HG994580.1,479,1738,A,0.266413981,Unbiased
LSAA_10250,HG994584.1,201,795,A,0.689697351,Unbiased
LSAA_10251,HG994584.1,278,844,A,0.359809148,Unbiased
LSAA_10252,HG994584.1,70,263,A,0.138292716,Male
LSAA_10253,HG994584.1,169.6666667,625.3333333,A,0.473097346,Unbiased
LSAA_10254,HG994584.1,179.3333333,663.6666667,A,0.497243795,Unbiased
LSAA_10255,HG994584.1,252,864,A,0.431148383,Unbiased
LSAA_10256,HG994584.1,470.6666667,1698.333333,A,0.094881583,Male
LSAA_10257,HG994584.1,392,1381,A,0.472850757,Unbiased
LSAA_10258,HG994584.1,305,1153,A,0.479910887,Unbiased
LSAA_10259,HG994584.1,183,687,A,0.514544521,Unbiased
LSAA_1026,HG994580.1,332,1144,A,0.641901071,Unbiased
LSAA_10260,HG994584.1,433.6666667,1429.333333,A,0.575295654,Unbiased
LSAA_10261,HG994584.1,236.3333333,954.6666667,A,0.444548415,Unbiased
LSAA_10262,HG994584.1,69,255,A,0.456091621,Unbiased
LSAA_10263,HG994584.1,95,376,A,0.150671643,Male
LSAA_10264,HG994584.1,152,595,A,0.400650779,Unbiased
LSAA_10265,HG994584.1,392,1375,A,0.408190436,Unbiased
LSAA_10266,HG994584.1,814,3074,A,0.048833498,Male
LSAA_10267,HG994584.1,222,822,A,0.160725781,Male
LSAA_10268,HG994584.1,157.6666667,529.3333333,A,0.288592584,Unbiased
LSAA_10269,HG994584.1,658.6666667,2311.333333,A,0.949214407,Female
LSAA_1027,HG994580.1,197,736,A,0.326376946,Unbiased
LSAA_10270,HG994584.1,444.6666667,1613.333333,A,0.424385281,Unbiased
LSAA_10271,HG994584.1,356.6666667,1194.333333,A,0.338676121,Unbiased
LSAA_10272,HG994584.1,430,1541,A,0.367570245,Unbiased
LSAA_10273,HG994584.1,190.3333333,655.6666667,A,0.868180131,Female
LSAA_10274,HG994584.1,92.66666667,309.3333333,A,0.425396677,Unbiased
LSAA_10275,HG994584.1,159.3333333,533.6666667,A,0.344322018,Unbiased
LSAA_10276,HG994584.1,112.6666667,403.3333333,A,0.639545884,Unbiased
LSAA_10277,HG994584.1,92.66666667,327.3333333,A,0.442943461,Unbiased
LSAA_10278,HG994584.1,173,601,A,0.391277888,Unbiased
LSAA_10279,HG994584.1,369.3333333,1340.666667,A,0.441213506,Unbiased
LSAA_1028,HG994580.1,599,2161,A,0.271150536,Unbiased
LSAA_10280,HG994584.1,85,287,A,0.266168181,Unbiased
LSAA_10281,HG994584.1,372.3333333,1322.666667,A,0.986448207,Female
LSAA_10282,HG994584.1,457.6666667,1720.333333,A,0.380845979,Unbiased
LSAA_10283,HG994584.1,196.3333333,643.6666667,A,0.381519925,Unbiased
LSAA_10284,HG994584.1,104.6666667,303.3333333,A,0.197790981,Male
LSAA_10285,HG994584.1,202,773,A,0.51762977,Unbiased
LSAA_10286,HG994584.1,218.6666667,837.3333333,A,0.466597829,Unbiased
LSAA_10287,HG994584.1,80.33333333,327.6666667,A,NA,Unbiased
LSAA_10288,HG994584.1,59.33333333,246.6666667,A,0.641933918,Unbiased
LSAA_10289,HG994584.1,304.3333333,1078.666667,A,0.404177959,Unbiased
LSAA_1029,HG994580.1,256,1022,A,1,Female
LSAA_10290,HG994584.1,960.6666667,3263.333333,A,0.293301217,Unbiased
LSAA_10291,HG994584.1,154,521,A,0.282082016,Unbiased
LSAA_10292,HG994584.1,61.33333333,241.6666667,A,0.275776202,Unbiased
LSAA_10293,HG994584.1,215.3333333,834.6666667,A,0.435237052,Unbiased
LSAA_10294,HG994584.1,352.6666667,1318.333333,A,0.090159033,Male
LSAA_10295,HG994584.1,150,552,A,0.312182462,Unbiased
LSAA_10296,HG994584.1,286.3333333,952.6666667,A,0.550464638,Unbiased
LSAA_10297,HG994584.1,163.3333333,619.6666667,A,0.537648378,Unbiased
LSAA_10298,HG994584.1,154,515,A,0.174269686,Male
LSAA_10299,HG994584.1,132.6666667,479.3333333,A,0.746658695,Unbiased
LSAA_103,CAJNVT010000015.1,156.3333333,542.6666667,A,0.95481641,Female
LSAA_1030,HG994580.1,244,923,A,0.483557541,Unbiased
LSAA_10300,HG994584.1,304,1112,A,NA,Unbiased
LSAA_10301,HG994584.1,448.6666667,1675.333333,A,0.576370242,Unbiased
LSAA_10302,HG994584.1,237.3333333,938.6666667,A,0.963825349,Female
LSAA_10303,HG994584.1,303.3333333,1043.666667,A,0.375415489,Unbiased
LSAA_10304,HG994584.1,189,642,A,0.430066758,Unbiased
LSAA_10305,HG994584.1,358.6666667,1345.333333,A,0.123629454,Male
LSAA_10306,HG994584.1,93,330,A,0.018483112,Male
LSAA_10307,HG994584.1,739.6666667,2464.333333,A,0.11593557,Male
LSAA_10308,HG994584.1,738.6666667,2483.333333,A,0.43955039,Unbiased
LSAA_10309,HG994584.1,102.6666667,362.3333333,A,0.069647736,Male
LSAA_1031,HG994580.1,92.33333333,357.6666667,A,0.284879728,Unbiased
LSAA_10310,HG994584.1,110.3333333,438.6666667,A,0.365873609,Unbiased
LSAA_10311,HG994584.1,150.6666667,473.3333333,A,0.678442567,Unbiased
LSAA_10312,HG994584.1,900,2517,A,0.492499335,Unbiased
LSAA_10313,HG994584.1,63,288,A,0.303501385,Unbiased
LSAA_10314,HG994584.1,420.6666667,1496.333333,A,0.392889135,Unbiased
LSAA_10315,HG994584.1,402.6666667,1379.333333,A,0.498325544,Unbiased
LSAA_10316,HG994584.1,123.6666667,467.3333333,A,0.005909273,Male
LSAA_10317,HG994584.1,373.6666667,1399.333333,A,0.275385047,Unbiased
LSAA_10318,HG994584.1,409,1496,A,0.268941399,Unbiased
LSAA_10319,HG994584.1,545,1666,A,0.67872921,Unbiased
LSAA_1032,HG994580.1,62,244,A,0.813277847,Female
LSAA_10320,HG994584.1,360,1284,A,0.001040762,Male
LSAA_10321,HG994584.1,223.6666667,757.3333333,A,0.353104925,Unbiased
LSAA_10322,HG994584.1,464.3333333,1566.666667,A,0.398347732,Unbiased
LSAA_10323,HG994584.1,202.3333333,751.6666667,A,0.060323228,Male
LSAA_10324,HG994584.1,301.3333333,1165.666667,A,0.400008537,Unbiased
LSAA_10325,HG994584.1,412.3333333,1465.666667,A,0.594393265,Unbiased
LSAA_10326,HG994584.1,440,1570,A,NA,Unbiased
LSAA_10327,HG994584.1,112.3333333,391.6666667,A,0.528667947,Unbiased
LSAA_10328,HG994584.1,819,2766,A,0.283608014,Unbiased
LSAA_10329,HG994584.1,481.6666667,1747.333333,A,0.120614192,Male
LSAA_1033,HG994580.1,248.6666667,945.3333333,A,0.177094504,Male
LSAA_10330,HG994584.1,135.6666667,452.3333333,A,0.259379263,Unbiased
LSAA_10331,HG994584.1,307.3333333,1123.666667,A,0.470245571,Unbiased
LSAA_10332,HG994584.1,280.3333333,949.6666667,A,1,Female
LSAA_10333,HG994584.1,183.3333333,656.6666667,A,0.417348463,Unbiased
LSAA_10334,HG994584.1,211.6666667,781.3333333,A,0.401432672,Unbiased
LSAA_10335,HG994584.1,59.66666667,261.3333333,A,0.008318835,Male
